ticker,name,sector,ipo,delisted,first_data,last_data,bh_cagr_since_ipo,bh_vol,bh_sharpe,bh_max_dd,corr_qqq,ret_1y,ret_3y,ret_5y,ret_10y,overlay_cagr_zero,overlay_sharpe_zero,overlay_max_dd_zero,overlay_cagr_base,overlay_sharpe_base,overlay_max_dd_base,timing_adds_value_after_costs
QRVO,Qorvo,semiconductors,2015-01-02,,2015-01-02,2026-07-31,0.022018153162700838,0.4335462368410745,0.2678401244755514,-0.745364337977348,0.6260223258683859,0.04705202312138779,-0.05396444838092507,-0.14050190779074057,0.04186389842431293,0.013867685042024958,0.18965591724066636,-0.503366705737913,0.005566470253237643,0.16042677609697226,-0.5265234349771023,False
MPWR,Monolithic Power Systems,semiconductors,2004-11-19,,2004-11-19,2026-07-31,0.26709101460446005,0.47607163083512594,0.7354224472313499,-0.7226800429962004,0.6254699872443444,0.9651168458736257,0.40221991430681325,0.2897467594838181,0.3598272344741449,0.19977724043875167,0.7025807546130771,-0.6213749473806559,0.19099138060709664,0.6812123613455648,-0.6303320251665615,False
GFS,GlobalFoundries,semiconductors,2021-10-28,,2021-10-28,2026-07-31,0.016109369096741766,0.5186484102094904,0.2872311208407195,-0.6152774258926776,0.6170338955607964,0.2693121260366125,-0.06195247191037445,,,-0.10211185760568176,-0.200370946021409,-0.55633455059024,-0.11146703093810528,-0.2343792034518796,-0.5762713999152377,False
ALAB,Astera Labs,semiconductors,2024-03-20,,2024-03-20,2026-07-31,0.9806602092361267,0.9470645678352946,1.1909105756387757,-0.6369247651052743,0.5417152420680271,1.4150694498331684,,,,0.14795239888269696,0.5490307114829102,-0.538945247033652,0.1438264477546849,0.5439244069038713,-0.5402988806019919,False
CRDO,Credo Technology,semiconductors,2022-01-27,,2022-01-27,2026-07-31,0.8943576776745616,0.8244328365751857,1.1970380179965738,-0.6203512396694213,0.5081132999079762,0.7842427376950254,1.3133305709923886,,,0.32473074168723515,0.7636521149370082,-0.538289127341355,0.3156121706138526,0.7535955781105077,-0.5412516548734261,False
ASML,ASML ADR,semi_equipment,1995-03-15,,1998-01-02,2026-07-31,0.21666750623237396,0.4757851193882907,0.6497753380638495,-0.9000000000018821,0.6837560947044312,1.2730089440213055,0.3492755032621986,0.18056166504241022,0.3274701776054625,0.22095744682139662,0.780835195795688,-0.6254457359166006,0.2140560639826119,0.7631368861543347,-0.6317240519968907,True
AMAT,Applied Materials,semi_equipment,1990-01-02,,1998-01-02,2026-07-31,0.1709012814601112,0.45841617039139854,0.5729367034767221,-0.8521765810576973,0.7283544254370238,1.7005784386487837,0.5526387174535636,0.3077961880147282,0.359590638010131,0.1483448680969779,0.5900534632847242,-0.7467185404771599,0.13728613787548527,0.5597715195481067,-0.7790983088051295,False
LRCX,Lam Research,semi_equipment,1990-01-02,,1998-01-02,2026-07-31,0.22625970960800457,0.5297881556893216,0.6481856712248091,-0.8790496760211135,0.6873872138191313,1.9734491127119664,0.6732073859500538,0.36957656660193927,0.4368500195729703,0.21443222656022742,0.7126798196087503,-0.7742064121358905,0.20687293668936757,0.6955859992507848,-0.7784382714591505,True
KLAC,KLA Corporation,semi_equipment,1990-01-02,,1998-01-02,2026-07-31,0.1974566043494923,0.4837754538672448,0.6135331169747406,-0.8374188840373396,0.7154990598053163,0.9891896969093339,0.5998107974848346,0.43065664746459587,0.39757905181479636,0.13094501778299672,0.5272480614687286,-0.7955661649837451,0.1208661987317372,0.5015500035349744,-0.7985069602463435,False
TER,Teradyne,semi_equipment,1990-01-02,,1998-01-02,2026-07-31,0.11716092905015296,0.525331661139384,0.4736507937617282,-0.9730000000000554,0.6573610779567051,2.424160636385855,0.4803318030259043,0.23826080646773762,0.3404444932629034,0.1169294076201699,0.48706814125185655,-0.6802731521964527,0.10619470018404553,0.4601489319865714,-0.6854253270581951,False
ENTG,Entegris,semi_equipment,2000-07-11,,2000-07-11,2026-07-31,0.09690504416356349,0.5480591572668647,0.4412508615902772,-0.9721030042904606,0.5804988808068168,0.5057485693638817,0.04915391934600333,0.002926253787223443,0.2380414127004633,0.05839895801263184,0.3370530749151814,-0.7959633841151817,0.04905259518501337,0.3112629645501857,-0.8150626805071535,False
SNPS,Synopsys,eda,1992-02-26,,1998-01-02,2026-07-31,0.11458765228621703,0.37566459634124666,0.4803968414183535,-0.6094753747323334,0.5780419091852462,-0.39759820252575984,-0.04711888624628702,0.06401073962171577,0.2172180082237345,0.05498203439984706,0.3376753950457515,-0.6047253932647527,0.04324469107616502,0.2954409146941469,-0.6205525018338541,False
